epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1695.52,1.39163,1.14831,1.54808,0.78531,0.68386,0.78119,0.44278,1.47856,1.07354,1.71899,0.00098525,0.00098525,0.00098525
43,1735.87,1.3752,1.12172,1.52175,0.75547,0.73427,0.79402,0.42652,1.56208,1.09329,1.74931,0.0009605,0.0009605,0.0009605
44,1776.14,1.38424,1.13173,1.52907,0.79504,0.73059,0.81467,0.46554,1.44252,1.035,1.67141,0.00093575,0.00093575,0.00093575
45,1816.37,1.36656,1.10212,1.51836,0.8008,0.69407,0.78642,0.45818,1.46375,1.08506,1.69784,0.000911,0.000911,0.000911
46,1856.98,1.36509,1.11491,1.51483,0.84752,0.69791,0.81891,0.46926,1.48577,1.03041,1.68921,0.00088625,0.00088625,0.00088625
47,1897.75,1.34437,1.09819,1.50167,0.85193,0.7287,0.83138,0.47564,1.43673,0.99023,1.6493,0.0008615,0.0008615,0.0008615
48,1938.55,1.35122,1.08217,1.50113,0.80093,0.74874,0.82789,0.47935,1.42816,0.99491,1.62528,0.00083675,0.00083675,0.00083675
49,1978.71,1.33373,1.07265,1.48956,0.8432,0.73548,0.84881,0.47848,1.45087,0.96124,1.63471,0.000812,0.000812,0.000812
50,2018.88,1.338,1.06335,1.49244,0.85818,0.67489,0.82415,0.47325,1.46772,0.97784,1.68,0.00078725,0.00078725,0.00078725
51,2059.02,1.32458,1.03607,1.48858,0.81057,0.77803,0.83941,0.50531,1.38226,0.93297,1.60538,0.0007625,0.0007625,0.0007625
52,2098.67,1.30053,1.02108,1.47569,0.84263,0.74888,0.84416,0.50692,1.3959,0.92839,1.61749,0.00073775,0.00073775,0.00073775
53,2138.3,1.30794,1.03485,1.47762,0.82702,0.76906,0.84377,0.50266,1.39134,0.91156,1.60522,0.000713,0.000713,0.000713
54,2178.26,1.28919,0.98434,1.44246,0.80464,0.76457,0.84431,0.50731,1.41871,0.90853,1.62363,0.00068825,0.00068825,0.00068825
55,2217.77,1.27361,0.96998,1.43879,0.85454,0.73766,0.84263,0.51262,1.39907,0.9442,1.60183,0.0006635,0.0006635,0.0006635
56,2257.46,1.26902,0.97512,1.43852,0.81427,0.7713,0.85161,0.51758,1.37697,0.9007,1.58821,0.00063875,0.00063875,0.00063875
57,2297.08,1.26151,0.95992,1.43598,0.84433,0.75336,0.85452,0.51947,1.38546,0.87527,1.59039,0.000614,0.000614,0.000614
58,2336.63,1.25758,0.97015,1.42887,0.88122,0.74215,0.87018,0.52299,1.39555,0.87688,1.59198,0.00058925,0.00058925,0.00058925
59,2376.22,1.22951,0.92903,1.41359,0.851,0.79821,0.87556,0.52109,1.40281,0.83889,1.60961,0.0005645,0.0005645,0.0005645
60,2415.37,1.22572,0.92292,1.41363,0.85239,0.787,0.87824,0.53975,1.34316,0.85445,1.56643,0.00053975,0.00053975,0.00053975
61,2455.24,1.21649,0.92044,1.39978,0.84395,0.81166,0.88274,0.54512,1.31609,0.80274,1.54655,0.000515,0.000515,0.000515
62,2494.89,1.23622,0.92445,1.40521,0.85964,0.78272,0.87561,0.52931,1.3521,0.80936,1.56493,0.00049025,0.00049025,0.00049025
63,2534.13,1.20971,0.91125,1.40011,0.84213,0.80135,0.87767,0.54846,1.32188,0.79645,1.55358,0.0004655,0.0004655,0.0004655
64,2575.04,1.19395,0.87973,1.39205,0.85438,0.8156,0.87991,0.55026,1.31246,0.7996,1.53924,0.00044075,0.00044075,0.00044075
65,2614.53,1.19048,0.88214,1.3779,0.91089,0.79372,0.89068,0.5644,1.2946,0.75908,1.53107,0.000416,0.000416,0.000416
66,2654.2,1.19115,0.88234,1.39328,0.88864,0.78721,0.88852,0.55763,1.29977,0.76677,1.54446,0.00039125,0.00039125,0.00039125
67,2693.72,1.18475,0.86473,1.381,0.86572,0.82511,0.89595,0.57002,1.25958,0.7578,1.49577,0.0003665,0.0003665,0.0003665
68,2733.23,1.15144,0.84832,1.35645,0.88673,0.79148,0.89237,0.56603,1.2804,0.74791,1.51758,0.00034175,0.00034175,0.00034175
69,2772.94,1.17057,0.85583,1.36861,0.9027,0.78924,0.89851,0.56946,1.28459,0.74017,1.51962,0.000317,0.000317,0.000317
70,2812.75,1.14612,0.82844,1.34509,0.85558,0.83184,0.90357,0.57789,1.26123,0.71398,1.4928,0.00029225,0.00029225,0.00029225
71,2853.93,1.11857,0.7286,1.34532,0.85387,0.82287,0.9018,0.57775,1.27417,0.72883,1.51428,0.0002675,0.0002675,0.0002675
72,2892.78,1.08274,0.67367,1.33667,0.89046,0.8296,0.91214,0.5871,1.25985,0.70873,1.50004,0.00024275,0.00024275,0.00024275
73,2931.92,1.07602,0.66893,1.32819,0.86648,0.83184,0.90917,0.58643,1.26516,0.6971,1.50176,0.000218,0.000218,0.000218
74,2970.88,1.05198,0.64746,1.305,0.876,0.84081,0.91265,0.59126,1.24097,0.70234,1.47574,0.00019325,0.00019325,0.00019325
75,3009.72,1.03729,0.63256,1.2993,0.89482,0.83928,0.9177,0.59619,1.24362,0.69007,1.48462,0.0001685,0.0001685,0.0001685
76,3048.58,1.01986,0.63185,1.28541,0.89237,0.84081,0.91978,0.60267,1.22895,0.67083,1.47492,0.00014375,0.00014375,0.00014375
77,3087.15,1.0157,0.62699,1.27902,0.87993,0.8544,0.91868,0.5991,1.22844,0.67823,1.47935,0.000119,0.000119,0.000119
78,3125.92,0.99125,0.59972,1.26977,0.87151,0.85202,0.91755,0.60338,1.20527,0.67362,1.4658,9.425e-05,9.425e-05,9.425e-05
79,3164.93,0.99349,0.60892,1.26235,0.88182,0.85327,0.92057,0.60535,1.20301,0.65977,1.45401,6.95e-05,6.95e-05,6.95e-05
80,3204.35,0.98859,0.58978,1.25849,0.88813,0.85874,0.91824,0.60839,1.20468,0.66172,1.45575,4.475e-05,4.475e-05,4.475e-05
